ticker,date,expiry,option_type,moneyness,strike,timestamp,open,high,low,close,volume
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 13:44:00,13.15,13.15,13.15,13.15,1000
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 13:46:00,12.55,12.55,12.55,12.55,250
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 13:47:00,12.2,12.2,12.2,12.2,250
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 13:49:00,11.95,11.95,11.95,11.95,250
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 13:55:00,11.65,11.65,11.65,11.65,250
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 13:59:00,11.85,11.85,11.85,11.85,250
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 14:05:00,11.8,11.8,11.35,11.35,750
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 14:06:00,12.15,12.15,12.15,12.15,750
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 14:07:00,11.7,11.7,11.7,11.7,250
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 14:08:00,11.75,11.8,11.75,11.8,4500
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 14:09:00,11.8,11.8,11.4,11.4,500
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 14:11:00,11.4,11.4,11.4,11.4,250
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 14:13:00,11.5,11.5,11.5,11.5,1000
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 14:14:00,11.1,11.1,11.1,11.1,250
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 14:15:00,10.5,10.5,10.45,10.45,3750
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 14:16:00,10.65,10.65,10.65,10.65,750
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 14:17:00,10.9,10.9,10.9,10.9,500
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 14:18:00,10.7,10.7,10.7,10.7,250
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 14:19:00,10.9,10.9,10.5,10.5,500
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 14:20:00,10.4,10.4,10.4,10.4,250
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 14:21:00,10.05,10.05,10.05,10.05,1000
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 14:23:00,9.45,9.45,9.25,9.25,1000
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 14:24:00,9.8,9.8,9.8,9.8,3250
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 14:25:00,9.8,9.8,9.8,9.8,750
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 14:26:00,9.8,9.8,9.75,9.75,500
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 14:27:00,9.8,9.8,9.8,9.8,500
ACC,2023-02-21,2023-02-23,CALL,ATM,1860,2023-02-21 14:28:00,9.55,9.55,9.55,9.55,250
